date_key,full_date
20170601,2017-06-01
20170701,2017-07-01
20170801,2017-08-01
20170901,2017-09-01
20171001,2017-10-01
20171101,2017-11-01
20171201,2017-12-01
20180101,2018-01-01
20180201,2018-02-01
20190101,2019-01-01
20190201,2019-02-01
20190301,2019-03-01
20190401,2019-04-01
20190501,2019-05-01
20190601,2019-06-01
20190701,2019-07-01
20190801,2019-08-01
20190901,2019-09-01
20191001,2019-10-01
20191101,2019-11-01
20200101,2020-01-01
20200301,2020-03-01
20200701,2020-07-01
20200901,2020-09-01
