product_key,item_code,item_description,item_type
1,100009,BOOTLEG RED - 750ML,WINE
2,100024,MOMENT DE PLAISIR - 750ML,WINE
3,1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER
4,100145,SCHLINK HAUS KABINETT - 750ML,WINE
5,100293,SANTORINI GAVALA WHITE - 750ML,WINE
6,100641,CORTENOVA VENETO P/GRIG - 750ML,WINE
7,100749,SANTA MARGHERITA P/GRIG ALTO - 375ML,WINE
8,1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,BEER
9,10103,KNOB CREEK BOURBON 9YR - 100P - 375ML,LIQUOR
10,101117,KSARA CAB - 750ML,WINE
11,10120,J W DANT BOURBON 100P - 1.75L,LIQUOR
12,10123,NOTEWORTHY SMALL BATCH BOURBON - 750ML,LIQUOR
13,10124,NOTEWORTHY SMALL BATCH RYE 750ML,LIQUOR
14,10125,NOTEWORTHY SMALL BATCH HONEY BBN 750,LIQUOR
15,101346,ALSACE WILLIAM GEW - 750ML,WINE
16,101486,POLIZIANO ROSSO MONTEPUL - 750ML,WINE
17,101532,HATSUMAGO SAKE JUN MAI SHU - 720ML,WINE
18,101664,RAMON CORDOVA RIOJA - 750ML,WINE
19,101702,MANISCHEWITZ CREAM RED CONCORD - 1.5L,WINE
20,101753,BARKAN CLASSIC PET SYR - 750ML,WINE
21,101915,WEINSTOCK CAB - 750ML,WINE
22,101923,WEINSTOCK CHARD - 750ML,WINE
23,10197,KNOB CREEK BOURBON 9YR - 100P - 1.75L,LIQUOR
24,101974,CH ST MICH P/GRIS - 750ML,WINE
25,102,TWO BOTTLE WINE TOTE,STR_SUPPLIES
26,102032,FUKI SAKE - 750ML,WINE
27,102083,CH DE LA CHESNAIE MUSCADET - 750ML,WINE
28,102148,MONSIEUR TOUTON S/BLC - 750ML,WINE
29,10243,OLD GRAND DAD BOURBON 100P - 750ML,LIQUOR
30,10245,CRICOVA ORIGINAL WH - 750ML,WINE
31,10246,HILLROCK DOUBLE CASK RYE - 750ML,LIQUOR
32,10264,90+ CELLARS LOT 113 BIG RED BLEND - 750ML,WINE
33,10269,FEW BOURBON - 750ML,LIQUOR
34,10271,ALLAGASH SAISON 6/4 NR 12.0Z,BEER
35,10272,WILD TURKEY AMERICAN HONEY STING - 750ML,LIQUOR
